Transect	Line	Family	Genus	species	LIANA	N(IND)	STEMDBH1	STEMDBH2	STEMDBH3	STEMDBH4	STEMDBH5	STEMDBH6	STEMDBH7	STEMDBH8	STEMDBH9	STEMDBH10	STEMDBH11	STEMDBH12	STEMDBH13
kennedy	10	ACTINIDIACEAE	Saurauia	M1		1	2,5												
kennedy	1	APOCYNACEAE	M	M1	L	1	2,5												
kennedy	3	APOCYNACEAE	M	M1	L	1	2,5												
kennedy	1	AQUIFOLIACEAE	Ilex	M1		2	2,5	2,5											
kennedy	7	AQUIFOLIACEAE	Ilex	M1		1	5												
kennedy	8	AQUIFOLIACEAE	Ilex	M1		1	2,5												
kennedy	9	AQUIFOLIACEAE	Ilex	M1		2	10	2,5											
kennedy	2	AQUIFOLIACEAE	Ilex	M2		1	2,5												
kennedy	7	AQUIFOLIACEAE	Ilex	M2		1	5												
kennedy	2	AQUIFOLIACEAE	Ilex	M3		2	16	25											
kennedy	4	AQUIFOLIACEAE	Ilex	M3		1	23												
kennedy	7	AQUIFOLIACEAE	Ilex	M3		1	21												
kennedy	8	AQUIFOLIACEAE	Ilex	M3		1	20												
kennedy	1	AQUIFOLIACEAE	Ilex	M4		1	3												
kennedy	4	AQUIFOLIACEAE	Ilex	M4		1	3												
kennedy	8	AQUIFOLIACEAE	Ilex	M4		2	2,5	2,5											
kennedy	9	AQUIFOLIACEAE	Ilex	M4		1	2,5												
kennedy	4	AQUIFOLIACEAE	Ilex	M5		1	30												
kennedy	1	ARALIACEAE	Schefflera	M1		2	2,5	27											
kennedy	2	ARALIACEAE	Schefflera	M1		3	26	6	21	10	11	4							
kennedy	4	ARALIACEAE	Schefflera	M1		3	2,5	38	15										
kennedy	8	ARALIACEAE	Schefflera	M1		1	24												
kennedy	9	ARALIACEAE	Schefflera	M1		4	2,5	2,5	2,5	2,5									
kennedy	10	ARALIACEAE	Schefflera	M2		1	52												
kennedy	2	ARECACEAE	Ceroxylon	schultzei            		1	17												
kennedy	4	ARECACEAE	Ceroxylon	schultzei            		4	15	20	20	20									
kennedy	5	ARECACEAE	Ceroxylon	schultzei            		2	17	20											
kennedy	6	ARECACEAE	Ceroxylon	schultzei            		2	17	16											
kennedy	7	ARECACEAE	Ceroxylon	schultzei            		3	16	18	28										
kennedy	8	ARECACEAE	Ceroxylon	schultzei            		1	14												
kennedy	9	ARECACEAE	Ceroxylon	schultzei            		3	19	16	17										
kennedy	10	ARECACEAE	Ceroxylon	schultzei            		2	14	19											
kennedy	1	ARECACEAE	Geonoma	M1		3	5	5	5										
kennedy	2	ARECACEAE	Geonoma	M1		4	7	6	5	7									
kennedy	3	ARECACEAE	Geonoma	M1		2	8	6											
kennedy	4	ARECACEAE	Geonoma	M1		4	5	8	7	6									
kennedy	5	ARECACEAE	Geonoma	M1		2	5	7											
kennedy	6	ARECACEAE	Geonoma	M1		1	8												
kennedy	7	ARECACEAE	Geonoma	M1		1	6												
kennedy	9	ARECACEAE	Geonoma	M1		12	6	7	5	6	7	8	5	6	7	5	7	7	
kennedy	10	ARECACEAE	Geonoma	M1		3	7	6	7										
kennedy	5	ASTERACEAE	Mikania	M1	L	1	2,5												
kennedy	1	ASTERACEAE	Paragynoxys	M1		3	13	2,5	19										
kennedy	2	ASTERACEAE	Paragynoxys	M1		1	7												
kennedy	3	ASTERACEAE	Paragynoxys	M1		1	8												
kennedy	4	ASTERACEAE	Paragynoxys	M1		1	5												
kennedy	1	BRUNELLIACEAE	Brunellia	M1		1	19												
kennedy	2	BRUNELLIACEAE	Brunellia	M1		1	7												
kennedy	4	BRUNELLIACEAE	Brunellia	M1		1	45												
kennedy	6	BRUNELLIACEAE	Brunellia	M1		3	10	13	11										
kennedy	7	BRUNELLIACEAE	Brunellia	M1		3	6	4	10	5									
kennedy	9	BUXACEAE	Styloceras	M1		1	6												
kennedy	1	CAPRIFOLIACEAE	Viburnum	cf. triphyllum          		2	4	6	2,5										
kennedy	10	CAPRIFOLIACEAE	Viburnum	cf. triphyllum          		1	6												
kennedy	2	CELASTRACEAE	Zinowiewia	australis             		2	2,5	27											
kennedy	8	CELASTRACEAE	Zinowiewia	australis             		1	16												
kennedy	7	CHLORANTHACEAE	Hedyosmum	crenatum		3	4	2,5	2,5	6									
kennedy	2	CHLORANTHACEAE	Hedyosmum	racemosum              		2	2,5	2,5											
kennedy	8	CHLORANTHACEAE	Hedyosmum	racemosum              		2	2,5	3	4	2,5									
kennedy	9	CHLORANTHACEAE	Hedyosmum	racemosum              		2	2,5	2,5	2,5										
kennedy	10	CHLORANTHACEAE	Hedyosmum	racemosum              		2	3	3	6										
kennedy	8	CLUSIACEAE	Clusia	M1		1	17												
kennedy	7	CUNONIACEAE	Weinmannia	M1		1	2,5												
kennedy	3	CYATHEACEAE	Cyathea	pauciflora             		2	8	15											
kennedy	10	CYATHEACEAE	Cyathea	pauciflora             		1	14												
kennedy	10	CYATHEACEAE	M1	M1		1	14												
kennedy	8	ERICACEAE	Psammisia	M1	L	1	8												
kennedy	2	EUPHORBIACEAE	Croton	M1		1	3	2,5											
kennedy	3	EUPHORBIACEAE	Croton	M1		4	17	2,5	27	10									
kennedy	7	EUPHORBIACEAE	Croton	M1		2	5	6											
kennedy	8	EUPHORBIACEAE	Hyeronima	M1		1	2,5												
kennedy	1	LAURACEAE	M1	M1		1	2,5												
kennedy	4	LAURACEAE	M2	M1		1	2,5												
kennedy	7	LAURACEAE	M3	M1		2	4	16											
kennedy	9	LAURACEAE	M4	M1		1	7												
kennedy	3	LAURACEAE	Ocotea	aff guianensis		1	52												
kennedy	1	LAURACEAE	Ocotea	discolor                  		2	4	2,5	2,5	17	4								
kennedy	7	LAURACEAE	Ocotea	discolor                  		1	20												
kennedy	1	LAURACEAE	Ocotea	M1		2	3	22	4										
kennedy	3	LAURACEAE	Ocotea	M1		2	29	24	4										
kennedy	5	LAURACEAE	Ocotea	M2		1	17	8											
kennedy	8	LAURACEAE	Ocotea	M2		1	17	8											
kennedy	8	LAURACEAE	Ocotea	M3		1	16												
kennedy	1	MELASTOMATACEAE	Merriana	grandidens		4	2,5	2,5	3	5	14								
kennedy	3	MELASTOMATACEAE	Miconia	cf. smithii              		1	16	12	22										
kennedy	6	MELASTOMATACEAE	Miconia	cf. smithii              		1	10												
kennedy	1	MELASTOMATACEAE	Miconia	tinifolia		3	10	2,5	9	6									
kennedy	2	MELASTOMATACEAE	Miconia	tinifolia		5	27	3	2,5	2,5	2,5	7	4	2.5					
kennedy	4	MELASTOMATACEAE	Miconia	tinifolia		4	15	18	4	5	5	3							
kennedy	7	MELASTOMATACEAE	Miconia	tinifolia		4	3	4	8	12	2,5	6	5	8	7				
kennedy	8	MELASTOMATACEAE	Miconia	tinifolia		4	13	2,5	6	2,5	8	19							
kennedy	9	MELASTOMATACEAE	Miconia	tinifolia		4	3	10	8	10	13								
kennedy	10	MELASTOMATACEAE	Miconia	tinifolia		3	16	9	14										
kennedy	9	MYRSINACEAE	Cybianthus	M1		1	2,5												
kennedy	1	MYRSINACEAE	Myrsine	coriacea                 		1	29												
kennedy	2	MYRSINACEAE	Myrsine	coriacea                 		7	2,5	3	2,5	2,5	2,5	4	21						
kennedy	5	MYRSINACEAE	Myrsine	coriacea                 		1	10												
kennedy	6	MYRSINACEAE	Myrsine	coriacea                 		3	6	2,5	10										
kennedy	10	MYRSINACEAE	Myrsine	coriacea                 		1	2,5												
kennedy	1	MYRTACEAE	Calyptranthes	M1		1	3												
kennedy	9	MYRTACEAE	Calyptranthes	M1		1	6												
kennedy	9	MYRTACEAE	M1	M1		1	16												
kennedy	2	MYRTACEAE	Myrcia	M1		2	5	2,5											
kennedy	4	MYRTACEAE	Myrcia	M1		1	3												
kennedy	2	MYRTACEAE	Myrcia	M2		3	2,5	3	2,5										
kennedy	8	MYRTACEAE	Myrcia	M2		2	17	2,5											
kennedy	1	POACEAE	Chusquea	M1	L	1	2,5												
kennedy	2	POACEAE	Chusquea	M1	L	1	2,5	2,5	2,5	2,5									
kennedy	3	POACEAE	Chusquea	M1	L	5	2,5	2,5	2,5	2,5	2,5	2.5	2.5	2.5					
kennedy	4	POACEAE	Chusquea	M1	L	3	2,5	2,5	2,5	2,5	2,5	2.5	2.5	2.5					
kennedy	5	POACEAE	Chusquea	M1	L	4	2,5	2,5	2,5	2,5	2,5	2.5	2.5						
kennedy	7	POACEAE	Chusquea	M1	L	3	2,5	2,5	2,5	2,5	2,5	2.5	2.5	2.5					
kennedy	8	POACEAE	Chusquea	M1	L	2	2,5	2,5	2,5										
kennedy	9	POACEAE	Chusquea	M1	L	2	2,5	2,5	2,5	2,5									
kennedy	6	PODOCARPACEAE	Podocarpus	M1		1	30												
kennedy	8	PODOCARPACEAE	Podocarpus	M1		3	21	7	3	39									
kennedy	2	PODOCARPACEAE	Podocarpus	oleifolius		2	3	3											
kennedy	5	PODOCARPACEAE	Podocarpus	oleifolius            		2	24	52											
kennedy	9	PODOCARPACEAE	Podocarpus	oleifolius            		1	18												
kennedy	7	POLYGALACEAE	Monnina	M1		1	4												
kennedy	2	POLYGALACEAE	Muhlenbeckia	M1	L	3	6	2,5	2,5										
kennedy	8	POLYGALACEAE	Securidaca	rufescens             	L	1	2,5												
kennedy	6	PROTEACEAE	Panopsis	costaricensis		1	25												
kennedy	6	PROTEACEAE	Panopsis	suaveolens		1	25												
kennedy	5	PROTEACEAE	Panopsis	suaveolens              		2	12	30											
kennedy	3	RANUNCULACEAE	Clematis	M1	L	1	2,5												
kennedy	2	ROSACEAE	Prunus	M1		1	2,5												
kennedy	4	ROSACEAE	Prunus	M1		1	30												
kennedy	5	ROSACEAE	Prunus	M1		1	10												
kennedy	9	ROSACEAE	Prunus	M1		1	19												
kennedy	10	RUBIACEAE	Faramea	killipii		1	17	17											
kennedy	1	RUBIACEAE	Palicourea	M1		1	14												
kennedy	3	RUBIACEAE	Palicourea	M1		1	2,5												
kennedy	6	RUBIACEAE	Palicourea	M1		1	3												
kennedy	7	RUBIACEAE	Palicourea	M1		1	7												
kennedy	8	RUBIACEAE	Palicourea	M1		1	17												
kennedy	2	SABIACEAE	Meliosma	martana		1	9												
kennedy	4	STYRACACEAE	Styrax	schultzei                 		2	10	41											
kennedy	6	STYRACACEAE	Styrax	schultzei                 		1	36												
kennedy	9	STYRACACEAE	Styrax	schultzei                 		1	43												
kennedy	1	SYMPLOCACEAE	Symplocos	M1		1	3												
kennedy	6	SYMPLOCACEAE	Symplocos	M1		4	3	5	2,5	2,5									
